component	spdx	linkage	origin
libfast-json	MIT	static	external
zlib-turbo	Zlib	bundled	external
gpl-codec	GPL-3.0-only	static	external
lesser-net	LGPL-2.1-only	static	external
apache-utils	Apache-2.0	bundled	external
mozilla-parse	MPL-2.0	static	external
internal-core	Apache-2.0	static	internal
internal-metrics	MIT	bundled	internal
dyn-ssl	OpenSSL	dynamic	external
dyn-gpl-plugin	GPL-2.0-only	dynamic	external
bsd-collections	BSD-3-Clause	bundled	external
agpl-server	AGPL-3.0-only	static	external
eclipse-runtime	EPL-2.0	static	external
exotic-lib	Beerware	bundled	external
posix-shim	ISC	static	external
